GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS	SEQ_NUMBER
22/12/2022	1610612740	126.0	0.484	0.926	0.382	25.0	46.0	1	48440126092625461
22/12/2022	1610612762	120.0	0.488	0.952	0.457	16.0	40.0	1	48862120095216401
21/12/2022	1610612739	114.0	0.482	0.786	0.313	22.0	37.0	1	48239114078622371
21/12/2022	1610612755	113.0	0.441	0.909	0.297	27.0	49.0	1	44155113090927491
21/12/2022	1610612737	108.0	0.429	1.0	0.378	22.0	47.0	0	42937108100022470
21/12/2022	1610612738	112.0	0.386	0.84	0.317	26.0	62.0	0	38638112084026620
21/12/2022	1610612751	143.0	0.643	0.875	0.636	42.0	32.0	1	64351143087542321
21/12/2022	1610612752	106.0	0.553	0.611	0.423	25.0	38.0	0	55352106061125380
21/12/2022	1610612745	110.0	0.466	0.647	0.395	22.0	49.0	0	46645110064722490
21/12/2022	1610612750	99.0	0.494	0.7	0.267	23.0	39.0	0	49450099070023390
21/12/2022	1610612760	101.0	0.468	0.84	0.333	19.0	37.0	1	46860101084019371
21/12/2022	1610612758	134.0	0.505	0.75	0.362	29.0	46.0	1	50558134075029461
21/12/2022	1610612746	126.0	0.506	0.913	0.469	29.0	48.0	1	50646126091329481
20/12/2022	1610612765	111.0	0.506	0.741	0.36	22.0	43.0	0	50665111074122430
20/12/2022	1610612748	103.0	0.469	0.706	0.341	26.0	35.0	0	46948103070626350
20/12/2022	1610612752	132.0	0.517	0.781	0.425	27.0	47.0	1	51752132078127471
20/12/2022	1610612756	110.0	0.461	0.789	0.406	26.0	44.0	0	46156110078926440
20/12/2022	1610612743	105.0	0.449	0.6	0.37	28.0	48.0	1	44943105060028481
19/12/2022	1610612739	122.0	0.614	0.808	0.577	24.0	45.0	1	61439122080824451
19/12/2022	1610612755	104.0	0.4	0.926	0.357	22.0	41.0	1	40055104092622411
19/12/2022	1610612737	126.0	0.511	0.9	0.375	29.0	41.0	1	51137126090029411
19/12/2022	1610612745	105.0	0.426	0.645	0.208	23.0	41.0	0	42645105064523410
19/12/2022	1610612750	116.0	0.472	0.833	0.387	19.0	44.0	1	47250116083319441
19/12/2022	1610612740	119.0	0.424	0.708	0.4	30.0	44.0	0	42440119070830440
19/12/2022	1610612760	123.0	0.455	0.865	0.355	20.0	39.0	1	45560123086520391
19/12/2022	1610612756	130.0	0.495	0.75	0.513	21.0	51.0	1	49556130075021511
19/12/2022	1610612758	119.0	0.474	0.548	0.364	23.0	42.0	0	47458119054823420
18/12/2022	1610612738	92.0	0.348	0.857	0.255	22.0	54.0	0	34838092085722540
18/12/2022	1610612754	106.0	0.433	0.652	0.342	20.0	44.0	0	43354106065220440
18/12/2022	1610612765	121.0	0.477	0.853	0.267	20.0	41.0	0	47765121085320410
18/12/2022	1610612761	110.0	0.421	0.773	0.394	21.0	43.0	0	42161110077321430
18/12/2022	1610612750	150.0	0.655	0.813	0.535	38.0	39.0	1	65550150081338391
18/12/2022	1610612743	119.0	0.457	0.647	0.333	33.0	55.0	1	45743119064733551
18/12/2022	1610612747	119.0	0.5	0.727	0.407	29.0	43.0	1	50047119072729431
17/12/2022	1610612746	102.0	0.43	0.615	0.414	19.0	49.0	1	43046102061519491
17/12/2022	1610612759	101.0	0.429	0.758	0.37	29.0	38.0	0	42959101075829380
17/12/2022	1610612739	100.0	0.426	0.591	0.194	23.0	51.0	1	42639100059123511
17/12/2022	1610612745	95.0	0.4	0.69	0.103	19.0	51.0	0	40045095069019510
17/12/2022	1610612749	123.0	0.533	0.818	0.474	30.0	54.0	1	53349123081830541
17/12/2022	1610612760	115.0	0.413	0.645	0.422	29.0	53.0	1	41360115064529531
17/12/2022	1610612756	118.0	0.47	0.714	0.366	23.0	35.0	1	47056118071423351
16/12/2022	1610612766	106.0	0.398	0.684	0.349	26.0	43.0	0	39866106068426430
16/12/2022	1610612765	113.0	0.459	0.806	0.345	22.0	46.0	0	45965113080622460
16/12/2022	1610612738	109.0	0.417	0.824	0.239	17.0	38.0	0	41738109082417380
16/12/2022	1610612739	118.0	0.5	0.875	0.452	23.0	34.0	1	50039118087523341
16/12/2022	1610612755	118.0	0.459	0.806	0.395	23.0	49.0	1	45955118080623491
16/12/2022	1610612761	116.0	0.488	0.862	0.375	17.0	32.0	0	48861116086217320
16/12/2022	1610612741	91.0	0.468	0.875	0.4	26.0	39.0	0	46841091087526390
16/12/2022	1610612760	110.0	0.466	0.81	0.297	29.0	45.0	0	46660110081029450
16/12/2022	1610612742	130.0	0.556	0.846	0.419	25.0	40.0	1	55642130084625401
16/12/2022	1610612747	126.0	0.527	0.75	0.364	29.0	45.0	1	52747126075029451
15/12/2022	1610612745	108.0	0.468	0.647	0.273	22.0	51.0	0	46845108064722510
15/12/2022	1610612763	142.0	0.549	0.783	0.375	30.0	56.0	1	54963142078330561
